Date (mm/dd/yyyy),Facility,Order received time,Order type,Pick/pack start time,Package ID,Package committed time,Zip Body,Call: Takeoff clearance,Flight ID,Flight launched time,Delivery status,Delivery time,Recovery (or flight failure) time,Mission failure (if applicable),Fulfillment off-nominal event - 1,Fulfillment off-nominal event - 2,Flight off-nominal event - 1,Flight off-nominal event - 2,Flight off-nominal event - 3,Flight off-nominal event - 4,Downtime events - 1,Downtime events - 2,Comments,UTC Date
4/23/2020,,,,,16913,,538,,,,Nominal delivery,,,,,,,,,,Software > Software release,Weather > Wind at Nest,,4/23/2020 14:20:22
4/29/2020,Anyinam HC (via Anyinam Health Centre),4/29/2020 16:18:28,Resupply - Medical,4/29/2020 16:20:58,17266,4/29/2020 16:24:19,538,,18800,4/29/2020 16:30:02,Nominal delivery,4/29/2020 16:57:56,4/29/2020 17:26:53,,,,Swap Zip component due to exception,,,,,,,4/29/2020 16:18:28
4/29/2020,Ekye HC (via Ekye Health Centre),4/29/2020 13:06:09,Emergency - Medical,4/29/2020 13:15:29,16970,4/29/2020 13:19:14,566,,18793,4/29/2020 13:22:53,Nominal delivery,4/29/2020 14:14:26,4/29/2020 15:09:23,,,,Wait for Zip to clear exceptions (use GPS specific off-nominal if waiting for GPS),,,,,,,4/29/2020 13:06:09
4/29/2020,Hawa Memorial HSP (via Hawa Memorial Hospital),4/29/2020 12:43:18,Resupply - Medical,4/29/2020 13:25:31,16976,4/29/2020 13:27:31,542,,18790,4/29/2020 13:29:58,Nominal delivery,4/29/2020 13:45:29,4/29/2020 13:59:26,,,,,,,,,,,4/29/2020 12:43:18
4/29/2020,Sekyere CHPS,4/29/2020 11:10:00,Resupply - Vaccine,4/29/2020 11:28:51,17151,4/29/2020 11:30:18,198,,18749,4/29/2020 11:33:27,Nominal delivery,4/29/2020 12:04:38,4/29/2020 12:44:24,,Fulfillment system issue,,Wait for launcher to be free,Wait for Zip to clear exceptions (use GPS specific off-nominal if waiting for GPS),,,,,system wasn't allowing us to manage shipment,4/29/2020 11:10:00
4/29/2020,Sekyere CHPS,4/29/2020 11:10:00,Resupply - Vaccine,4/29/2020 11:25:44,17290,4/29/2020 11:28:27,549,,18756,4/29/2020 11:31:06,Flight failure,4/29/2020 11:58:48,4/29/2020 12:34:16,,Fulfillment system issue,,,,,,,,system wasn't allowing us to manage shipment,4/29/2020 11:10:00
4/29/2020,Holy Family HSP (Indirect) (via Danteng Health Centre),4/29/2020 10:05:41,Resupply - Medical,4/29/2020 10:49:37,17150,4/29/2020 10:53:52,237,,18775,4/29/2020 10:57:21,Nominal delivery,4/29/2020 11:47:06,4/29/2020 12:48:26,,,,Wait for Zip to clear exceptions (use GPS specific off-nominal if waiting for GPS),,,,,,,4/29/2020 10:05:41
4/29/2020,Holy Family HSP (Indirect) (via Danteng Health Centre),4/29/2020 10:05:41,Resupply - Medical,4/29/2020 10:32:45,17157,4/29/2020 10:47:37,229,,18764,4/29/2020 10:50:09,Nominal delivery,4/29/2020 11:39:22,4/29/2020 12:41:47,,Fulfillment system issue,Multiple packages,,,,,,,,4/29/2020 10:05:41
4/29/2020,Holy Family HSP (Indirect) (via Danteng Health Centre),4/29/2020 10:05:41,Resupply - Medical,4/29/2020 10:24:46,17291,4/29/2020 10:27:24,228,,18766,4/29/2020 10:30:02,Nominal delivery,4/29/2020 11:20:17,4/29/2020 12:16:53,,Fulfillment system issue,Multiple packages,Wait for Zip to clear exceptions (use GPS specific off-nominal if waiting for GPS),,,,,,,4/29/2020 10:05:41
4/29/2020,Holy Family HSP (Indirect) (via Danteng Health Centre),4/29/2020 09:26:31,Resupply - Medical,4/29/2020 09:51:23,17085,4/29/2020 09:55:48,552,,18780,4/29/2020 09:58:36,Nominal delivery,4/29/2020 10:48:27,4/29/2020 11:43:59,,,,Wait for Zip to clear exceptions (use GPS specific off-nominal if waiting for GPS),,,,,,,4/29/2020 09:26:31
4/29/2020,Holy Family HSP (Indirect) (via Danteng Health Centre),4/29/2020 09:26:31,Resupply - Medical,4/29/2020 09:44:30,17023,4/29/2020 09:49:01,542,,18772,4/29/2020 09:51:50,Nominal delivery,4/29/2020 10:42:50,4/29/2020 11:38:29,,,,,,,,,,,4/29/2020 09:26:31
4/29/2020,Holy Family HSP (Indirect) (via Danteng Health Centre),4/29/2020 09:26:31,Resupply - Medical,4/29/2020 09:40:11,17084,4/29/2020 09:44:08,566,,18754,4/29/2020 09:46:30,Nominal delivery,4/29/2020 10:38:32,4/29/2020 11:33:33,,,,,,,,,,,4/29/2020 09:26:31
4/29/2020,Holy Family HSP (Indirect) (via Danteng Health Centre),4/29/2020 09:26:31,Resupply - Medical,4/29/2020 09:35:46,16960,4/29/2020 09:39:19,559,,18778,4/29/2020 09:42:33,Nominal delivery,4/29/2020 10:33:18,4/29/2020 11:27:38,,,,Wait for Zip to clear exceptions (use GPS specific off-nominal if waiting for GPS),,,,,,,4/29/2020 09:26:31
